2026-04-05 17:48:56,365 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,365 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,366 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,366 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,375 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 3
2026-04-05 17:48:56,375 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 3
2026-04-05 17:48:56,376 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,376 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,377 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,377 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,384 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 9
2026-04-05 17:48:56,384 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 9
2026-04-05 17:48:56,384 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,384 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,385 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,385 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,393 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 5
2026-04-05 17:48:56,393 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 5
2026-04-05 17:48:56,394 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,394 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,394 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,394 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,395 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 2
